Tipo de instancia,Familia de instancias,Tamaño de instancia,Zonas de disponibilidad,Elegible para la capa gratuita,Prueba gratuita disponible,Sin sistema operativo,Hipervisor,CPU virtuales,Arquitectura,Núcleos,Núcleos válidos,Subprocesos por núcleo,Subprocesos válidos por núcleo,Velocidad de reloj constante (GHz),Memoria (GiB),Almacenamiento (GB),Almacenamiento local de la instancia,Tipo de almacenamiento,Recuento de discos de almacenamiento,Compatibilidad con el cifrado de EBS,Compatibilidad con la optimización de EBS,Rendimiento de la red,Compatibilidad con ENA,Cantidad máxima de interfaces de red,Direcciones IPv4 por interfaz,Direcciones IPv6 por interfaz,Compatibilidad con IPv6,Estrategias de grupos de ubicación admitidas,GPU,FPGA,Compatibilidad con la recuperación automática,Tipos de dispositivos raíz admitidas,Compatibilidad con los alojamientos dedicados,Compatibilidad con la hibernación bajo demanda,Compatibilidad con el rendimiento ampliable en ráfagas,Generación actual,Compatibilidad con ENA Express,Bajo demanda Linux precios,Bajo demanda Windows precios,Bajo demanda SUSE precios,Bajo demanda RHEL precios
t2.nano,t2,nano,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,xen,1,"i386, x86_64",1,-,1,-,2.4,0.5,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,2,2,2,verdadero,"partition, spread",-,-,verdadero,ebs,-,verdadero,verdadero,verdadero,false,0.0066 USD por hora,0.0089 USD por hora,0.0066 USD por hora,
t2.micro,t2,micro,"eu-west-2c, eu-west-2a, eu-west-2b",verdadero,falso,falso,xen,1,"i386, x86_64",1,-,1,-,2.5,1,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,2,2,2,verdadero,"partition, spread",-,-,verdadero,ebs,-,verdadero,verdadero,verdadero,false,0.0132 USD por hora,0.0178 USD por hora,0.0132 USD por hora,0.0732 USD por hora
t2.small,t2,small,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,xen,1,"i386, x86_64",1,-,1,-,2.5,2,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,4,4,verdadero,"partition, spread",-,-,verdadero,ebs,-,verdadero,verdadero,verdadero,false,0.026 USD por hora,0.0352 USD por hora,0.056 USD por hora,0.086 USD por hora
t2.medium,t2,medium,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,xen,2,"i386, x86_64",2,-,1,-,2.3,4,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,6,6,verdadero,"partition, spread",-,-,verdadero,ebs,-,verdadero,verdadero,verdadero,false,0.052 USD por hora,0.0704 USD por hora,0.152 USD por hora,0.112 USD por hora
t2.large,t2,large,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,xen,2,x86_64,2,-,1,-,2.3,8,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,12,12,verdadero,"partition, spread",-,-,verdadero,ebs,-,verdadero,verdadero,verdadero,false,0.1056 USD por hora,0.1336 USD por hora,0.2056 USD por hora,0.1656 USD por hora
t2.xlarge,t2,xlarge,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,xen,4,x86_64,4,-,1,-,2.3,16,-,-,-,-,supported,unsupported,Moderate,unsupported,3,15,15,verdadero,"partition, spread",-,-,verdadero,ebs,-,verdadero,verdadero,verdadero,false,0.2112 USD por hora,0.2522 USD por hora,0.3112 USD por hora,0.2712 USD por hora
t2.2xlarge,t2,2xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,xen,8,x86_64,8,-,1,-,2.3,32,-,-,-,-,supported,unsupported,Moderate,unsupported,3,15,15,verdadero,"partition, spread",-,-,verdadero,ebs,-,verdadero,verdadero,verdadero,false,0.4224 USD por hora,0.4844 USD por hora,0.5224 USD por hora,0.5524 USD por hora
t3.nano,t3,nano,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",2.5,0.5,-,-,-,-,supported,default,Up to 5 Gigabit,required,2,2,2,verdadero,"partition, spread",-,-,verdadero,ebs,verdadero,verdadero,verdadero,verdadero,false,0.0059 USD por hora,0.0105 USD por hora,0.0059 USD por hora,
t3.micro,t3,micro,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",2.5,1,-,-,-,-,supported,default,Up to 5 Gigabit,required,2,2,2,verdadero,"partition, spread",-,-,verdadero,ebs,verdadero,verdadero,verdadero,verdadero,false,0.0118 USD por hora,0.021 USD por hora,0.0118 USD por hora,0.0718 USD por hora
t3.small,t3,small,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",2.5,2,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,4,4,verdadero,"partition, spread",-,-,verdadero,ebs,verdadero,verdadero,verdadero,verdadero,false,0.0236 USD por hora,0.042 USD por hora,0.0546 USD por hora,0.0836 USD por hora
t3.medium,t3,medium,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",2.5,4,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,6,6,verdadero,"partition, spread",-,-,verdadero,ebs,verdadero,verdadero,verdadero,verdadero,false,0.0472 USD por hora,0.0656 USD por hora,0.1035 USD por hora,0.1072 USD por hora
t3.large,t3,large,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",2.5,8,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,12,12,verdadero,"partition, spread",-,-,verdadero,ebs,verdadero,verdadero,verdadero,verdadero,false,0.0944 USD por hora,0.122 USD por hora,0.1507 USD por hora,0.1544 USD por hora
t3.xlarge,t3,xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,4,x86_64,2,2,2,"1,2",2.5,16,-,-,-,-,supported,default,Up to 5 Gigabit,required,4,15,15,verdadero,"partition, spread",-,-,verdadero,ebs,verdadero,verdadero,verdadero,verdadero,false,0.1888 USD por hora,0.2624 USD por hora,0.2451 USD por hora,0.2488 USD por hora
t3.2xlarge,t3,2xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,8,x86_64,4,"2,4",2,"1,2",2.5,32,-,-,-,-,supported,default,Up to 5 Gigabit,required,4,15,15,verdadero,"partition, spread",-,-,verdadero,ebs,verdadero,verdadero,verdadero,verdadero,false,0.3776 USD por hora,0.5248 USD por hora,0.5026 USD por hora,0.5076 USD por hora
c4.large,c4,large,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,xen,2,x86_64,1,1,2,"1,2",2.9,3.75,-,-,-,-,supported,default,Moderate,unsupported,3,10,10,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,falso,false,0.119 USD por hora,0.211 USD por hora,0.219 USD por hora,0.179 USD por hora
c4.xlarge,c4,xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,xen,4,x86_64,2,"1,2",2,"1,2",2.9,7.5,-,-,-,-,supported,default,High,unsupported,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,falso,false,0.237 USD por hora,0.421 USD por hora,0.337 USD por hora,0.297 USD por hora
c4.2xlarge,c4,2xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.9,15,-,-,-,-,supported,default,High,unsupported,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,falso,false,0.476 USD por hora,0.844 USD por hora,0.576 USD por hora,0.606 USD por hora
c4.4xlarge,c4,4xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.9,30,-,-,-,-,supported,default,High,unsupported,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,falso,false,0.95 USD por hora,1.686 USD por hora,1.05 USD por hora,1.08 USD por hora
c4.8xlarge,c4,8xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,xen,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",2.9,60,-,-,-,-,supported,default,10 Gigabit,unsupported,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,falso,false,1.902 USD por hora,3.558 USD por hora,2.002 USD por hora,2.032 USD por hora
